case,nodes_before,levels_before,nodes_after,levels_after,gain,gain_pct,candidates,accepted,cross_co
tc_1,207,13,207,13,0,0%,2000,0,0
tc_2,34,6,34,6,0,0%,561,0,0
tc_3,208,13,208,13,0,0%,2000,0,0
tc_4,145,12,145,12,0,0%,2000,0,0
tc_5,128,2,128,2,0,0%,190,0,0
tc_6,256,5,256,5,0,0%,496,0,0
tc_7,252,3,252,3,0,0%,190,0,0
tc_8,193,3,193,3,0,0%,171,0,0
tc_9,224,5,224,5,0,0%,378,0,0
tc_10,192,5,192,5,0,0%,1128,0,0
tc_11,1064,6,1064,6,0,0%,435,0,0
tc_12,1482,15,1482,15,0,0%,45,0,0
tc_13,1284,17,1284,17,0,0%,66,0,0
tc_14,6388,29,6388,29,0,0%,1,0,0
tc_15,931,12,931,12,0,0%,0,0,0
tc_16,45,6,45,6,0,0%,990,0,0
tc_17,93,6,93,6,0,0%,210,0,0
tc_18,525,12,525,12,0,0%,0,0,0
tc_19,5478,18,5478,18,0,0%,0,0,0
tc_20,5742,20,5742,20,0,0%,0,0,0
tc_21,5763,20,5763,20,0,0%,0,0,0
tc_22,11367,20,11367,20,0,0%,0,0,0
tc_23,1530,263,1530,263,0,0%,0,0,0
tc_24,223,15,223,15,0,0%,0,0,0
tc_25,101,14,101,14,0,0%,1176,0,0
tc_26,1064,32,1064,32,0,0%,1953,0,0
tc_27,576,20,576,20,0,0%,2000,0,0
tc_28,576,20,576,20,0,0%,0,0,0
tc_29,121,8,121,8,0,0%,325,0,0
tc_30,14139,1036,14139,1036,0,0%,0,0,0
